id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2024-07-22T10:56:06;surprisingly absentmindedly worth;CANCELLED;PAYPAL;2024-07-22T09:13:40;25875.83;despite drivel;1
2;2024-07-22T17:15:13;cuddly;ISSUED;CREDIT_CARD;2024-07-22T06:44:26;31064.47;yet;2
3;2024-07-22T06:59:37;urgently animated spear;CANCELLED;CREDIT_CARD;2024-07-22T19:23:52;15668.2;hoard than;3
4;2024-07-22T04:31:43;fridge scorpion;CANCELLED;CASH_ON_DELIVERY;2024-07-22T04:50:21;19468.7;lonely sheer;4
5;2024-07-22T13:51:05;ack;PAID;CASH_ON_DELIVERY;2024-07-22T01:58:41;21186.6;than;5
6;2024-07-22T18:12:02;great so;CANCELLED;CREDIT_CARD;2024-07-22T02:09:59;6558.34;yippee stylish;6
7;2024-07-22T15:32:19;thankfully men carelessly;CANCELLED;CREDIT_CARD;2024-07-22T03:53:16;23261.65;because whoa;7
8;2024-07-22T10:56:42;in across;CANCELLED;CASH_ON_DELIVERY;2024-07-22T03:39:54;22117.5;as woefully chaff;8
9;2024-07-22T01:08:32;happily;ISSUED;CASH_ON_DELIVERY;2024-07-22T08:30:37;5186.86;impossible cement mmm;9
10;2024-07-22T03:23:37;uh-huh mortally;ISSUED;PAYPAL;2024-07-22T17:47:21;22339.58;provision immediately;10
