id;tracking_code;date;details;invoice_id
1;gorilla;2024-07-22T17:58:37;mmm;1
2;medium inasmuch gutter;2024-07-22T04:58:00;what with sheepishly;2
3;regain ack mockingly;2024-07-22T06:08:43;starry;3
4;inasmuch;2024-07-22T23:35:18;outside;4
5;shyly ouch to;2024-07-22T21:43:23;till further;5
6;gadzooks;2024-07-22T01:46:46;blah beside;6
7;civilise;2024-07-22T04:02:58;sleepily able;7
8;whether stint equally;2024-07-22T11:36:25;except aver;8
9;before;2024-07-22T11:21:10;innocent;9
10;consequently although;2024-07-22T14:21:00;dark;10
